DAS,t_A,t_A_%,A,CQY,CUE_24,P_GROSS,P_NET,RESP,CGR,TCB,H,PPFD
14.0,28,0.5,0.465,0.054,0.625,8.5374,5.335875000000001,3.201525,7.5299868000000005,17.5299868,18.0,340.0
15.0,28,0.5357142857142857,0.4982142857142858,0.054,0.625,9.147214285714288,5.717008928571429,3.430205357142858,8.067843000000002,25.5978298,18.0,340.0
16.0,28,0.5714285714285714,0.5314285714285715,0.054,0.625,9.757028571428572,6.098142857142857,3.6588857142857147,8.605699200000002,34.203529,18.0,340.0
17.0,28,0.6071428571428571,0.5646428571428572,0.054,0.625,10.366842857142858,6.479276785714287,3.8875660714285725,9.143555400000002,43.34708440000001,18.0,340.0
18.0,28,0.6428571428571429,0.5978571428571429,0.054,0.625,10.976657142857144,6.860410714285715,4.116246428571428,9.681411600000002,53.02849600000001,18.0,340.0
19.0,28,0.6785714285714286,0.6310714285714286,0.054,0.625,11.58647142857143,7.241544642857144,4.344926785714286,10.219267800000003,63.247763800000016,18.0,340.0
20.0,28,0.7142857142857143,0.6642857142857144,0.054,0.625,12.196285714285715,7.6226785714285725,4.573607142857144,10.757124,74.00488780000002,18.0,340.0
21.0,28,0.75,0.6975,0.054,0.625,12.806099999999999,8.0038125,4.8022875,11.2949802,85.29986800000002,18.0,340.0
22.0,28,0.7857142857142857,0.7307142857142858,0.054,0.625,13.415914285714287,8.384946428571428,5.0309678571428575,11.8328364,97.13270440000002,18.0,340.0
23.0,28,0.8214285714285714,0.7639285714285715,0.054,0.625,14.025728571428573,8.766080357142858,5.259648214285715,12.370692600000002,109.50339700000002,18.0,340.0
24.0,28,0.8571428571428571,0.7971428571428572,0.054,0.625,14.635542857142857,9.147214285714286,5.488328571428572,12.9085488,122.41194580000003,18.0,340.0
25.0,28,0.8928571428571429,0.8303571428571429,0.054,0.625,15.245357142857143,9.528348214285716,5.717008928571429,13.446405,135.85835080000004,18.0,340.0
26.0,28,0.9285714285714286,0.8635714285714287,0.054,0.625,15.855171428571431,9.909482142857144,5.945689285714287,13.984261200000002,149.84261200000003,18.0,340.0
27.0,28,0.9642857142857143,0.8967857142857144,0.054,0.625,16.464985714285717,10.290616071428573,6.174369642857144,14.522117400000003,164.36472940000004,18.0,340.0
28.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,179.42470300000005,18.0,340.0
29.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,194.48467660000006,18.0,340.0
30.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,209.54465020000006,18.0,340.0
31.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,224.60462380000007,18.0,340.0
32.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,239.66459740000008,18.0,340.0
33.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,254.72457100000008,18.0,340.0
34.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,269.78454460000006,18.0,340.0
35.0,28,1.0,0.93,0.054,0.625,17.0748,10.671750000000001,6.40305,15.059973600000001,284.84451820000004,18.0,340.0
